Top_R,Top_G,Top_B,Bot_R,Bot_G,Bot_B,Thickness
-1.1269367,-0.04007213,1.1670341,-0.821986,-0.23088491,1.0528624,109.7333333
-1.2501658,0.1674755,1.0826402,-1.0454571,0.00010032933,1.0453651,111.4
1.1076161,-0.625014,-0.48253387,-0.6552675,-0.111048244,0.7663261,62.36666667
0.7106468,-0.14889243,-0.5617411,-1.0831107,0.323399,0.75978863,63.16666667
0.48041505,-0.03992367,-0.440548,-1.1350441,0.14401053,0.99103147,63.16666667
0.7602168,-0.05869466,-0.70159584,-1.067194,0.14288719,0.9243175,63.6
-0.7367611,-0.56921715,1.3059188,-1.1639876,0.1967883,0.967196,75.2
-0.5389735,-0.7750557,1.3140569,-1.0110863,-0.060098864,1.0711471,74.2
-0.62071246,-0.63818973,1.2588491,-1.0179929,0.113453574,0.9045514,74.2
-0.6273196,-0.64618075,1.2734241,-0.8561211,-0.038519066,0.89464366,74.8
-1.0331506,-0.27165514,1.3048378,-1.1476004,0.13257787,1.0150127,86.46666667
-0.99398047,-0.32744396,1.3214312,-0.992492,-0.018073736,1.0105623,87.7
-0.9948608,-0.33313853,1.3278898,-1.1542647,0.23036931,0.92388415,86.8
-0.9986502,-0.322182,1.3207783,-0.8817499,-0.017779896,0.8995947,87.36666667
-1.1370156,-0.122894004,1.2598424,-1.0575625,0.09656784,0.96100026,98.33333333
-1.1973894,-0.006006715,1.2034112,-1.0971395,0.12774564,0.96941096,99.36666667
-1.1547363,-0.08391343,1.2386063,-1.1077819,0.23786727,0.8699171,98.7
-1.1634648,-0.070360996,1.2338779,-1.0777564,0.079859205,0.99788564,100.6
0.903655,-0.13318472,-0.77044684,-0.97004765,0.02498531,0.9450624,61.3
-0.33652225,0.64670825,-0.31018093,-1.1398085,0.19747539,0.9423357,61.73333333
0.61765724,0.2345085,-0.85211766,-0.97307676,0.16725537,0.8058113,61.06666667
0.45809552,0.011524294,-0.46963295,-1.0455806,0.20511307,0.8404673,61.46666667
-0.38476318,-0.8227695,1.2075397,-0.94546145,-0.1046239,1.0500871,73.3
-0.56961626,-0.67091036,1.2405496,-0.8714736,-0.09337017,0.9648542,74.06666667
-0.48720923,-0.6127977,1.1000162,-1.0022718,0.14946456,0.8528085,72.8
-0.23707794,-0.8000253,1.0370677,-1.0648735,0.08586534,0.979128,73.4
-0.99210215,-0.31414935,1.3062452,-1.1133195,0.14566267,0.9676707,84.5
-0.8624188,-0.48846197,1.3507918,-0.96837276,0.005789986,0.9625861,84.73333333
-0.8863542,-0.43253443,1.3188679,-0.81172854,-0.09008061,0.90181124,84.03333333
-0.88035655,-0.45139375,1.3317186,-1.0416563,0.027494833,1.014171,84.63333333
-1.1446255,-0.09605737,1.2406684,-0.99635017,0.15866853,0.8376746,98.36666667
-1.0558021,-0.26121473,1.3169656,-1.0357817,0.046105977,0.9896698,97.03333333
-1.0768049,-0.2149594,1.2917517,-0.8863328,-0.16977187,1.0560989,96.26666667
-1.1079302,-0.1676699,1.2755827,-1.0852855,0.12632512,0.9589619,97.76666667
