True,Predict
8.31786,8.481464552390056
8.12195,8.281194392330246
7.9279,8.073406073522968
7.73851,7.873019458622442
7.53195,7.666439921929341
7.33748,7.460369656536784
7.15628,7.251363636597623
6.9375,7.043268511677549
6.73789,6.835934853611873
6.54993,6.697545608312083
7.14388,6.922726354662342
6.88373,6.713436434406893
6.61303,6.449159745308932
6.354,6.194427413944113
6.09858,5.92774328197014
5.83953,5.673280090689333
5.58444,5.439716987462925
5.33528,5.178343270242747
5.0507,4.910515953621302
4.82066,4.669271838345415
4.56979,4.425468842235261
4.32416,4.1751046530168265
4.08982,3.9628665301173105
3.87069,3.737018236640616
3.6324,3.493828462183491
3.38722,3.2582114261801562
3.15222,3.037186189904494
2.93297,2.8161117113126726
2.7118,2.600652257643259
2.49183,2.3877099622609657
2.2902,2.1877799240738303
2.08836,1.9920286088357204
1.89302,1.80457182785239
1.70719,1.626881017762516
1.52989,1.4575087641148297
1.36014,1.2955900189514418
1.19702,1.1453428388831528
1.05052,1.006521348888603
0.913915,0.8813996694828528
0.790089,0.770864866649071
0.681751,0.6749459071682137
0.589439,0.5972759376776287
0.515788,0.5377718182207359
0.459158,0.4972410671662102
0.423579,0.4774377559830279
0.409263,0.48055971874758363
0.415993,0.5082447573012553
0.450264,0.5627023709822149
0.509669,0.6448138496647728
0.59861,0.7570590916272364
0.720182,0.9011713576910169
0.875456,1.077799095255098
1.0604,1.2903478598019062
1.28723,1.5402689392142774
1.55416,1.8338313272870532
1.86359,2.1734459359417064
2.22264,2.563358854247114
2.62911,3.0001512538484745
3.08922,3.487240970278223
3.59782,4.027948249083407
4.15796,4.622765994440545
4.77863,5.278846727938188
5.45675,5.995799121444649
6.20135,6.7781466681017974
7.02601,7.635847633155005
7.91554,8.566898688329685
8.8855,9.571528247550562
9.92459,10.657641154746926
11.0554,11.821348653294532
12.252,13.064431403412032
13.5331,14.37952412835205
14.9146,15.764512257910555
16.4063,17.266077910144077
17.9675,18.868833917842537
19.6355,20.553270629615813
21.4212,22.329587436695487
23.4132,24.29932615438428
25.4677,26.31817839173165
27.7128,28.460466241953753
